year,county,hay_yield_tons_acre,bermudagrass_yield_tons_acre,rye_yield_bu_acre,fescue_yield_tons_acre,soybean_yield_bu_acre,corn_silage_yield_measured_in_tons_acre,wheat_yield_measured_in_bu_acre,at_dep
2020,alamance,NA,4.9,59,4.9,40.2,NA,NA,NA
2019,alamance,NA,4.9,59,4.9,30.1,NA,NA,11.547
2018,alamance,NA,4.9,59,4.9,35.7,NA,NA,11.739
2017,alamance,NA,4.9,59,4.9,42,NA,NA,10.671
2016,alamance,NA,4.9,59,4.9,32.5,NA,NA,11.838
2015,alamance,NA,4.9,59,4.9,33.3,NA,NA,12.003
2014,alamance,NA,4.9,59,4.9,35.3,NA,NA,10.697
2013,alamance,NA,4.9,59,4.9,35.5,NA,NA,11.921
2012,alamance,NA,4.9,59,4.9,38.8,NA,NA,12.182
2011,alamance,NA,4.9,59,4.9,22.5,NA,NA,11.496
2010,alamance,NA,4.9,59,4.9,25.8,NA,NA,10.369
2009,alamance,NA,4.3,59,4.9,24.5,NA,NA,11.404
2008,alamance,1.75,4.3,59,4.9,32,NA,NA,13.042
2007,alamance,1.21,4.3,59,4.9,10,10,41,11.764
2006,alamance,2.16,4.3,59,4.9,32,15,55,14.407
2005,alamance,2.09,4.3,59,4.9,25,14,47,13.104
2004,alamance,2.08,4.3,59,4.9,36,20,45,13.66
2003,alamance,2.11,4.3,59,4.9,29,18,30,15.592
2002,alamance,1.48,4.3,59,4.9,23,10,43,14.382
2001,alamance,2.32,4.3,59,4.9,31,16,47,13.873
2000,alamance,2.38,4.3,59,4.9,34,19,53,15.565
1999,alamance,2.15,4.3,59,4.9,23,10,57,NA
1998,alamance,2.36,4.3,59,4.9,22,7,41,NA
1997,alamance,1.75,4.3,59,4.9,27,11,49,NA
1996,alamance,1.75,4.3,59,4.9,28,15,49,NA
1995,alamance,2.05,4.3,59,4.9,29,15,44,NA
1994,alamance,1.89,4.3,59,4.9,32,19,47,NA
1993,alamance,1.28,4.3,59,4.9,24,11,40,NA
1992,alamance,2.01,4.3,59,4.9,22,17,40,NA
1991,alamance,2,4.3,59,4.9,22,16,36,NA
1990,alamance,1.8,4.3,59,4.9,22,NA,NA,NA
